id,ig_date,ig_year,event_dur,fsr_km2_dy,mx_grw_km2
2185,2001-07-18,2001,2,1.93192805967,2.36124540626
2187,2001-07-18,2001,5,6.26803326026,31.125507628
2188,2001-07-18,2001,3,0.1431057822,0.2146586733
2194,2001-07-18,2001,3,0.2862115644,0.64397601989
2197,2001-07-19,2001,6,0.35776445549,1.71726938637
2203,2001-07-19,2001,8,0.2146586733,0.64397601989
2207,2001-07-20,2001,1,0.2146586733,0.2146586733
2209,2001-07-20,2001,1,0.2146586733,0.2146586733
2217,2001-07-21,2001,1,0.42931734659,0.42931734659
2218,2001-07-21,2001,10,0.3649197446,1.50261071308
2219,2001-07-21,2001,1,0.42931734659,0.42931734659
2229,2001-07-21,2001,21,1.40039229722,25.1150647757
2233,2001-07-22,2001,2,0.42931734659,0.64397601989
2242,2001-07-22,2001,6,0.39354090104,1.71726938637
2246,2001-07-23,2001,1,0.2146586733,0.2146586733
2249,2001-07-23,2001,2,0.42931734659,0.64397601989
2250,2001-07-23,2001,13,1.45307409616,5.15180815912
2251,2001-07-23,2001,1,0.2146586733,0.2146586733
2253,2001-07-23,2001,1,0.42931734659,0.42931734659
2254,2001-07-23,2001,1,0.2146586733,0.2146586733
2257,2001-07-23,2001,8,0.34882034411,0.85863469319
2260,2001-07-24,2001,1,0.85863469319,0.85863469319
2265,2001-07-24,2001,1,0.2146586733,0.2146586733
2267,2001-07-24,2001,1,2.14658673296,2.14658673296
2268,2001-07-24,2001,6,0.85863469319,2.79056275285
2269,2001-07-24,2001,1,0.2146586733,0.2146586733
2280,2001-07-25,2001,6,0.60819957434,3.21988009945
2289,2001-07-26,2001,8,3.64919744604,14.3821311109
2290,2001-07-26,2001,1,0.2146586733,0.2146586733
2291,2001-07-26,2001,10,1.5240765804,6.2251015256
2292,2001-07-26,2001,5,0.72983948921,2.57590407956
2299,2001-07-26,2001,4,0.64397601989,1.07329336648
2303,2001-07-27,2001,18,0.84670921134,9.65964029834
2306,2001-07-27,2001,1,0.2146586733,0.2146586733
2307,2001-07-27,2001,4,1.28795203978,1.93192805967
2312,2001-07-28,2001,3,5.8673370701,12.6648617245
2315,2001-07-28,2001,4,0.16099400497,0.2146586733
2321,2001-07-29,2001,3,0.50087023769,0.85863469319
2327,2001-07-30,2001,7,6.99173964451,25.329723449
2330,2001-07-30,2001,1,0.85863469319,0.85863469319
2331,2001-07-30,2001,6,1.46683426753,3.64919744604
2332,2001-07-30,2001,8,1.47577837891,5.3664668324100004
2334,2001-07-30,2001,3,5.08025526802,6.65441887219
2338,2001-07-30,2001,1,0.64397601989,0.64397601989
2343,2001-07-31,2001,6,0.50087023769,1.50261071308
2344,2001-07-31,2001,39,1.78331820892,15.4554244773
2352,2001-08-01,2001,3,0.78708180209,2.14658673296
2358,2001-08-02,2001,1,0.42931734659,0.42931734659
2363,2001-08-02,2001,1,0.85863469319,0.85863469319
2364,2001-08-02,2001,1,0.42931734659,0.42931734659
2365,2001-08-02,2001,3,0.85863469319,1.93192805967
2369,2001-08-03,2001,2,0.64397601989,1.07329336648
2370,2001-08-03,2001,5,0.30052214262,0.85863469319
2378,2001-08-03,2001,1,0.64397601989,0.64397601989
2383,2001-08-04,2001,15,0.75846064565,2.57590407956
2385,2001-08-04,2001,12,6.90485399104,48.7275188383
2387,2001-08-04,2001,1,0.2146586733,0.2146586733
2391,2001-08-04,2001,2,0.32198800995,0.42931734659
2392,2001-08-05,2001,5,0.98742989716,1.93192805967
2401,2001-08-06,2001,5,0.17172693864,0.64397601989
2402,2001-08-06,2001,3,1.64571649527,4.07851479263
2403,2001-08-06,2001,1,2.57590407956,2.57590407956
2407,2001-08-06,2001,10,3.02668729348,15.240765804
2408,2001-08-06,2001,3,0.2146586733,0.42931734659
